,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
0,1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4-Jun-10,18:45
1,2,CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.0B0004.1,Failure,8-Dec-10,15:43
2,3,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0005.1,"No attempt
",22-May-12,7:44
3,4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,No attempt,8-Oct-12,0:35
4,5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0007.1,"No attempt
",1-Mar-13,15:10
5,6,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.1B1003,Uncontrolled,29-Sep-13,16:00
6,7,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,3-Dec-13,22:41
7,8,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,6-Jan-14,22:06
8,9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,18-Apr-14,19:25
9,10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14-Jul-14,15:15
10,11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5-Aug-14,8:00
11,12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",7-Sep-14,5:00
12,13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,21-Sep-14,5:52
13,14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,Failure ,10-Jan-15,9:47
14,15,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,Controlled,11-Feb-15,23:03
15,16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,2-Mar-15,3:50
16,17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,14-Apr-15,20:10
17,18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,No attempt,27-Apr-15,23:03
18,19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,28-Jun-15,14:21
19,20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT,Success,22-Dec-15,1:29
